"Name","Key","Section","Italian","English","German","French","Notes","Status","Ready to sync"
"Navigation.brand","Navigation.brand","Navigation","The Ranco Bay","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation | tipo: etichetta
Italiano attuale (repository prima del pass): ""The Ranco Bay""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 2 righe; /it 834px: 1 righe; /it 1024px: 1 righe; /it 1366px: 1 righe; /it 1440px: 1 righe; /it 1680px: 1 righe; /it 1920px: 1 righe; /it 2560px: 1 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff811e84fbfdc6fd0b1a9a
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.primaryLabel","Navigation.primaryLabel","Navigation","Navigazione principale","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation | tipo: etichetta
Italiano attuale (repository prima del pass): ""Navigazione principale""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff811f859cf5eb4220f206
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.house","Navigation.house","Navigation","La casa","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation | tipo: etichetta
Italiano attuale (repository prima del pass): ""La casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff819daf8ee78f656f8ae6
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.guide","Navigation.guide","Navigation","Guida locale","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation | tipo: etichetta
Italiano attuale (repository prima del pass): ""Guida locale""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81b4879fc2ce01a990bf
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.contact","Navigation.contact","Navigation","Contatti","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation | tipo: etichetta
Italiano attuale (repository prima del pass): ""Contatti""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81f281a6f8865fa9e7e3
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.languageLabel","Navigation.languageLabel","Navigation","Scegli una lingua","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation | tipo: etichetta
Italiano attuale (repository prima del pass): ""Scegli una lingua""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff814a8d1be1cfb3ec6ddf
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.locales.en","Navigation.locales.en","Navigation","EN","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation.locales | tipo: etichetta
Italiano attuale (repository prima del pass): ""EN""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8198a47ef50fa84eac3d
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.locales.it","Navigation.locales.it","Navigation","IT","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation.locales | tipo: etichetta
Italiano attuale (repository prima del pass): ""IT""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81c7802dc65bce725f57
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.locales.de","Navigation.locales.de","Navigation","DE","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation.locales | tipo: etichetta
Italiano attuale (repository prima del pass): ""DE""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff814fb33ae5232a950212
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Navigation.locales.fr","Navigation.locales.fr","Navigation","FR","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Navigation.locales | tipo: etichetta
Italiano attuale (repository prima del pass): ""FR""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81d3970cd309898fad64
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hero.title","Home.Hero.title","Home","Una casa sul lato tranquillo del lago","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hero | tipo: titolo
Italiano attuale (repository prima del pass): ""Una casa sul lato tranquillo del lago""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Il titolo attuale rientra in due righe sui viewport tablet/desktop testati. Non riscritto soltanto per differenziarlo.
Verifica browser (font/layout originali): /it 390px: 4 righe; /it 834px: 2 righe; /it 1024px: 2 righe; /it 1366px: 2 righe; /it 1440px: 2 righe; /it 1680px: 2 righe; /it 1920px: 2 righe; /it 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81f38e74e10f0200f18b
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hero.metadata","Home.Hero.metadata","Home","RANCO · LAGO MAGGIORE — CASA SUL LAGO CON SPIAGGIA PRIVATA","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hero | tipo: sottotitolo
Italiano attuale (repository prima del pass): ""RANCO · LAGO MAGGIORE — CASA SUL LAGO CON SPIAGGIA PRIVATA""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8180b47dce7f1aee1815
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hero.slides.arrival.alt","Home.Hero.slides.arrival.alt","Home","La riva e le montagne del Lago Maggiore viste dall'acqua","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hero.slides.arrival | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""La riva e le montagne del Lago Maggiore viste dall'acqua""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Alt legacy: il cinematic hero usa i propri alt Home.CinematicHero.scenes.*. Mantenuto; verificare prima di rimuovere.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff817f8644cce5c6f24440
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hero.slides.openWater.alt","Home.Hero.slides.openWater.alt","Home","Barche a vela ferme sull'acqua calma sotto le montagne","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hero.slides.openWater | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Barche a vela ferme sull'acqua calma sotto le montagne""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Alt legacy: il cinematic hero usa i propri alt Home.CinematicHero.scenes.*. Mantenuto; verificare prima di rimuovere.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff812e8c8bc174b4ca6fe6
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hero.slides.evening.alt","Home.Hero.slides.evening.alt","Home","La luce calda della sera sul Lago Maggiore","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hero.slides.evening | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""La luce calda della sera sul Lago Maggiore""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Alt legacy: il cinematic hero usa i propri alt Home.CinematicHero.scenes.*. Mantenuto; verificare prima di rimuovere.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff810f83bbf03a43cb44e1
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.counter","Home.CinematicHero.counter","Home","{current} / {total}","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero | tipo: etichetta
Italiano attuale (repository prima del pass): ""{current} / {total}""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff817f9aacd512e88d1c37
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.promise.alt","Home.CinematicHero.scenes.promise.alt","Home","Il Lago Maggiore visto dall'ombra dell'interno della casa","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.promise | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Il Lago Maggiore visto dall'ombra dell'interno della casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff811ab256f64c50779b7b
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.inside.title","Home.CinematicHero.scenes.inside.title","Home","Interni","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.inside | tipo: titolo
Italiano attuale (repository prima del pass): ""Interni""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 1 righe; /it 834px: 1 righe; /it 1024px: 1 righe; /it 1366px: 1 righe; /it 1440px: 1 righe; /it 1680px: 1 righe; /it 1920px: 1 righe; /it 2560px: 1 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81a984eed84cdedc453b
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.inside.subtitle","Home.CinematicHero.scenes.inside.subtitle","Home","","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.inside | tipo: sottotitolo
Italiano attuale (repository prima del pass): """"
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Stringa vuota intenzionale, non un testo mancante da inventare.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff815b85ebc02077034b56
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.inside.windowAlt","Home.CinematicHero.scenes.inside.windowAlt","Home","L'acqua del lago vista da un'ampia finestra incorniciata da tende scure","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.inside | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""L'acqua del lago vista da un'ampia finestra incorniciata da tende scure""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81668dc8f81dd5e505ea
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.inside.sculptureAlt","Home.CinematicHero.scenes.inside.sculptureAlt","Home","Scultura in legno intagliato in un interno luminoso","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.inside | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Scultura in legno intagliato in un interno luminoso""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8102ae29f5900e049ee2
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.inside.bedsideAlt","Home.CinematicHero.scenes.inside.bedsideAlt","Home","Comodino in legno con libri e una custodia fotografica vintage","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.inside | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Comodino in legno con libri e una custodia fotografica vintage""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8175a653c5528e2d27e5
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.inside.detailAlt","Home.CinematicHero.scenes.inside.detailAlt","Home","Primo piano astratto di una superficie interna materica","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.inside | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Primo piano astratto di una superficie interna materica""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81498eb9f84c84b9f915
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.outside.label","Home.CinematicHero.scenes.outside.label","Home","Verso il lago","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.outside | tipo: etichetta
Italiano attuale (repository prima del pass): ""Verso il lago""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 1 righe; /it 834px: 1 righe; /it 1024px: 1 righe; /it 1366px: 1 righe; /it 1440px: 1 righe; /it 1680px: 1 righe; /it 1920px: 1 righe; /it 2560px: 1 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81708eb9de10095a44c1
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.outside.alt","Home.CinematicHero.scenes.outside.alt","Home","Cancelli aperti che incorniciano il percorso oltre la strada verso il Lago Maggiore","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.outside | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Cancelli aperti che incorniciano il percorso oltre la strada verso il Lago Maggiore""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81d7b0d8c3dedc69bb20
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.privateBeach.eyebrow","Home.CinematicHero.scenes.privateBeach.eyebrow","Home","Spiaggia privata","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.privateBeach | tipo: occhiello
Italiano attuale (repository prima del pass): ""Spiaggia privata""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 1 righe; /it/house 834px: 1 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 1 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81f38608f01d30edf03b
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.privateBeach.lineOne","Home.CinematicHero.scenes.privateBeach.lineOne","Home","La tua spiaggia.","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.privateBeach | tipo: frammento titolo
Italiano attuale (repository prima del pass): ""Fino alla spiaggia.""
A 1680–2560px la prima battuta andava a capo, producendo tre righe complessive. «La tua spiaggia.» mantiene il riferimento alla spiaggia privata; seconda battuta e movimento invariati.
Verifica browser (font/layout originali): /it 390px: 4 righe; /it 834px: 2 righe; /it 1024px: 2 righe; /it 1366px: 2 righe; /it 1440px: 2 righe; /it 1680px: 2 righe; /it 1920px: 2 righe; /it 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81f9a2b0fb85b5712239
DIVERGENZA PREESISTENTE — Italiano in Notion: ""Godi la spiaggia."". La base di questo pass è il repository italiano; verificare con Manu prima di sovrascrivere.
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.privateBeach.lineTwo","Home.CinematicHero.scenes.privateBeach.lineTwo","Home","A piedi nudi.","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.privateBeach | tipo: frammento titolo
Italiano attuale (repository prima del pass): ""A piedi nudi.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 4 righe; /it 834px: 2 righe; /it 1024px: 2 righe; /it 1366px: 2 righe; /it 1440px: 2 righe; /it 1680px: 2 righe; /it 1920px: 2 righe; /it 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff812dad54e8d77ed07976
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.privateBeach.alt","Home.CinematicHero.scenes.privateBeach.alt","Home","Lettini su un prato accanto all'acqua azzurra","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.privateBeach | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Lettini su un prato accanto all'acqua azzurra""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81ba8ac6ebddd9594c87
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.reveal.eyebrow","Home.CinematicHero.scenes.reveal.eyebrow","Home","Dal lago alla casa","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.reveal | tipo: occhiello
Italiano attuale (repository prima del pass): ""Dal lago alla casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81218efae2f295ee2452
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.reveal.title","Home.CinematicHero.scenes.reveal.title","Home","The Ranco Bay","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.reveal | tipo: titolo
Italiano attuale (repository prima del pass): ""The Ranco Bay""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 2 righe; /it 834px: 1 righe; /it 1024px: 1 righe; /it 1366px: 1 righe; /it 1440px: 1 righe; /it 1680px: 1 righe; /it 1920px: 1 righe; /it 2560px: 1 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81b9aa78c64b78904495
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.CinematicHero.scenes.reveal.alt","Home.CinematicHero.scenes.reveal.alt","Home","Una casa riflessa nell'acqua calma sotto una montagna boscosa","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.CinematicHero.scenes.reveal | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Una casa riflessa nell'acqua calma sotto una montagna boscosa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81839435e3ac5709e9e7
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
